Date,Sales ,Advertising,Economic_indicator
31-01-2020,4174,340,17.882271
29-02-2020,4507,663,36.646878
31-03-2020,1860,195,74.417052
30-04-2020,2294,999,72.093992
31-05-2020,2130,833,30.806079
30-06-2020,1680,645,63.100555
31-07-2020,4016,355,67.897715
31-08-2020,2154,465,10.049535
30-09-2020,1228,356,77.842704
31-10-2020,3121,470,87.388551
30-11-2020,2765,366,49.051213
31-12-2020,1484,512,15.564617
31-01-2021,3382,853,28.054617
28-02-2021,4872,137,28.053326
31-03-2021,2432,617,42.684193
30-04-2021,1411,281,84.141334
31-05-2021,4377,705,94.201174
30-06-2021,2284,467,33.679575
31-07-2021,1166,253,79.614529
31-08-2021,3815,209,24.375975
30-09-2021,3315,708,17.187847
31-10-2021,1042,467,68.688654
30-11-2021,2424,253,17.379963
31-12-2021,4211,209,90.907185
31-01-2022,2003,708,43.660002
28-02-2022,1072,758,15.459447
31-03-2022,3145,457,35.63403
30-04-2022,2580,371,19.447035
31-05-2022,2275,973,22.788712
30-06-2022,3551,444,38.297946
31-07-2022,1863,125,96.140501
31-08-2022,3712,964,41.167258
30-09-2022,3704,347,31.140694
31-10-2022,3744,569,8.622942
30-11-2022,4647,659,31.015218
31-12-2022,3306,441,89.141119
31-01-2023,4746,897,75.810905
28-02-2023,3306,888,51.484539
31-03-2023,4647,272,50.012015
30-04-2023,1371,342,55.952976
31-05-2023,4873,170,61.303578
30-06-2023,4057,824,58.306543
31-07-2023,2975,238,38.477789
31-08-2023,3085,211,99.103275
30-09-2023,3322,773,7.519228
31-10-2023,4983,688,29.587843
30-11-2023,2042,222,1.642441
31-12-2023,1146,732,71.015392
31-01-2024,3640,389,21.942323
29-02-2024,1741,275,94.139725
31-03-2024,2818,399,47.011798
30-04-2024,2237,241,92.579472
31-05-2024,4717,942,41.011798
30-06-2024,1298,616,92.579472
31-07-2024,1424,782,73.934161
31-08-2024,4890,864,50.746261
30-09-2024,4093,732,54.854249
31-10-2024,2475,673,33.632145
30-11-2024,4380,839,7.732154
31-12-2024,2040,793,83.407344
31-01-2025,3010,525,85.491685
28-02-2025,2654,845,52.540571
31-03-2025,3424,956,10.947702
30-04-2025,1081,101,55.429762
31-05-2025,2068,179,47.097075
30-06-2025,1433,598,23.053247
31-07-2025,2211,636,0.760921
31-08-2025,2763,576,36.80593
30-09-2025,2150,183,67.618451
31-10-2025,1973,134,13.761804
30-11-2025,1172,454,91.954904
31-12-2025,1688,134,77.512631
31-01-2026,1420,267,55.781931
28-02-2026,2043,873,18.329613
31-03-2026,3038,787,35.40195
30-04-2026,1110,777,69.170516
31-05-2026,3375,691,85.311872
30-06-2026,3664,947,8.245426
31-07-2026,3847,295,5.737648
31-08-2026,1855,499,56.706008
30-09-2026,2697,677,97.148632
31-10-2026,2766,757,88.779235
30-11-2026,3486,241,36.232689
31-12-2026,3781,993,70.40667
31-01-2027,1600,202,8.350259
28-02-2027,4412,473,95.352423
31-03-2027,4092,439,73.125205
30-04-2027,2294,523,35.032073
31-05-2027,2490,451,4.276405
30-06-2027,1624,648,75.275311
31-07-2027,4632,351,27.292343
31-08-2027,2693,280,15.20472
30-09-2027,1645,923,99.189598
31-10-2027,3011,283,64.2708
30-11-2027,1971,470,97.804732
31-12-2027,1958,100,66.507097
31-01-2028,3154,331,88.860145
29-02-2028,1253,442,21.137142
31-03-2028,2111,406,14.654425
30-04-2028,4385,699,11.013306
31-05-2028,2162,498,35.511916
30-06-2028,3017,189,9.026859
31-07-2028,1073,142,55.657321
31-08-2028,4445,895,56.297565
30-09-2028,2552,455,4.276405
31-10-2028,4581,256,75.275311
30-11-2028,4555,255,27.292343
31-12-2028,5789,895,15.20472
